属性名词,次数
老股东,79
投资方,71
估值,50
独家财务顾问,35
融资金额,18
本轮投资方,16
领投方,13
机构,12
财务顾问,11
投资机构,11
投后估值,10
融资总额,8
金额,6
跟投方,6
规模,6
融资规模,6
本轮领投方,5
原股东,5
原有股东,5
长期独家财务顾问,4
本轮融资的独家财务顾问,4
本轮融资投资方,4
本轮独家财务顾问,4
早期股东,4
新投资者,4
投资者,4
中金资本旗下,4
累计金额,3
知名投资机构,3
现有股东,3
独家融资顾问,3
此次融资的独家财务顾问,3
本轮融资独家财务顾问,3
本轮融资总金额,3
本次融资的独家财务顾问,3
总额,3
总金额,3
总融资金额,3
参投方,3
风投,2
融资额,2
融资,2
累计融资额,2
知名机构,2
知名创投机构,2
现有投资者,2
此轮融资的投资者,2
此次融资总额,2
本轮融资金额,2
本轮融资的财务顾问,2
本轮新进入的领投方,2
本轮投资机构,2
本轮投资人,2
新股东,2
新投资人,2
持股比例,2
投资金额,2
所有老股东,2
总融资额,2
广发信德投资管理有限公司旗下,2
天使轮股东,2
天使投资人,2
多家投资机构,2
多位老股东,2
基金,2
国内产业龙头企业,2
华兴资本旗下,2
其他数家国际知名,2
其他投资者,2
公司,2
全球领先医疗基金,2
主要老股东,2
中远海运旗下,2
中科院自动化所投资平台,2
专业投资机构,2
上市公司,2
B轮股东,2
B2轮投资机构,2
B1轮投资机构,2
鼎珮集团旗下,1
高级副总裁,1
香港上市公司,1
首轮投资人,1
首席战略官,1
食品自动化专家,1
风险基金,1
领投资方,1
预计融资金额,1
顶级投资机构,1
非控股股东,1
青岛国有资产管理体系,1
陆奇博士创,1
阿联酋最大的主权财富基金,1
长期战略合作伙伴,1
锁定期,1
重要投资方,1
酒业巨头之一保乐力加旗下,1
连续两轮领,1
跟投金额,1
跟投者,1
赛富亚洲创始人,1
资本,1
财务投资机构,1
财务处理,1
财信金控旗下,1
贝莱德和沙特汽车经销商,1
该轮融资募集资金总数,1
该公司的其他投资者,1
诊疗家产投资人,1
要紧投资方,1
袋泡茶品牌,1
融资累计额,1
融资后估值,1
融资后,1
著名的俄罗斯风投机构,1
著名投资机构,1
著名基金,1
若贝特天使轮股东,1
若干位加密艺术、NFT 及传统 VC 领域,1
自动驾驶专家,1
能链融资总额,1
能源巨头隆基股份（601012.SH）创始人,1
背后资方,1
股权估值,1
股东,1
联合投资方,1
老股东天使轮领投方,1
美国私人风投公司,1
美国和欧洲足球俱乐部,1
红杉中国基金,1
累计融资金额,1
管理规模,1
管理团队同等估值,1
筹资总额,1
科创板上市企业,1
种子轮领投方,1
禾赛科技老股东,1
硅谷风投,1
知名游戏公司,1
知名机构投资人,1
知名国有投资机构,1
知名企业家,1
目前估值,1
现有股东投资人,1
现有投资方,1
独家投资机构,1
牵头财务顾问,1
牵头方,1
物明投资旗下,1
深耕汽车产业链投资,1
深创投旗下,1
淡马锡旗下,1
浦科投资管理,1
浦发银行旗下,1
沨,1
汽车服务行业巨头,1
此次融资的领投方,1
梅花天使原创始合伙人,1
格力集团旗下,1
机构投资者,1
机构和天使投资人,1
本轮财务顾问,1
本轮融资领投方之一,1
本轮融资领投方,1
本轮融资财务顾问,1
本轮融资老股东,1
本轮融资的领投方,1
本轮融资的跟投方,1
本轮融资独家,1
本轮融资总额,1
本轮融资,1
本轮联合领投机构,1
本轮的领投方,1
本轮的独家财务顾问,1
本轮新增的领投方,1
本轮持续跟投,1
本轮投资金额,1
本轮投资,1
本轮投后,1
本轮前累计融资额,1
